165 	 44 
ID 	NL/450/88 	BE/353/89 	GU/54/89 	NL/620/89 	HK/34/90 	VI/2/90 	LY/1149/91 	BE/32A/92 	BE/32V/92 	BE/32B/92 	GD/25/93 	MA/G252/93 	OS/2352/93 	SD/9/93 	JO/33/94 	NL/18/94 	PR/413/94 	FI/338/95 	GE/A9509/95 	LY/2279/95 	NA/933/95 	NL/1/95 	NL/47/95 	NL/218/95 	WU/359B/95 	BR/8/96 	NL/172/96 	SP/1/96 	AU/10/97 	NL/286/97 	SY/5A/97 	SY/5B/97 	SY/5HAY/97 	SY/5V/97 	NL/5/98 	MW/10/99 	PM/2007/99 	NL/118/01 	NL/124/01 	NL/126/01 	FU/411/02 	NL/1/02 	NL/22/03 	NL/88/03 
NI/3126/92 	320 	1280 	0 	2560 	0 	2560 	0 	0 	0 	0 	0 	0 	0 	40 	<10 	0 	0 	40 	0 	10 	<5 	0 	0 	0 	0 	0 	30 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NI/3129/92 	640 	1280 	0 	2560 	0 	2560 	0 	0 	0 	0 	0 	0 	0 	40 	20 	0 	0 	40 	0 	10 	<5 	0 	0 	0 	0 	0 	10 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NL/819/92 	640 	1280 	0 	2560 	0 	1280 	0 	0 	0 	0 	0 	0 	0 	60 	15 	0 	0 	0 	0 	20 	18 	0 	0 	0 	0 	0 	30 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NL/823/92 	320 	1280 	0 	1280 	0 	1280 	0 	0 	0 	0 	0 	0 	0 	40 	18 	0 	0 	20 	0 	30 	<5 	0 	0 	0 	0 	0 	20 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NL/935/92 	1280 	2560 	0 	5120 	0 	5120 	0 	0 	0 	0 	0 	0 	0 	40 	15 	0 	0 	40 	0 	30 	<5 	0 	0 	0 	0 	0 	20 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NL/938/92 	640 	127 	0 	1280 	6451 	<40 	127 	479 	0 	640 	100 	20 	0 	733 	140 	18 	0 	70 	0 	30 	0 	0 	0 	0 	0 	0 	70 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
OV/31/92 	1280 	2560 	0 	10240 	0 	5120 	0 	0 	0 	0 	0 	0 	0 	25 	20 	0 	0 	40 	0 	10 	<5 	0 	0 	0 	0 	0 	15 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
PA/320/92 	320 	1280 	0 	2560 	0 	2560 	0 	0 	0 	0 	0 	0 	0 	25 	<10 	0 	0 	35 	0 	20 	<5 	0 	0 	0 	0 	0 	18 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
PA/325/92 	320 	2560 	0 	2560 	0 	2560 	0 	0 	0 	0 	0 	0 	0 	20 	<10 	0 	0 	35 	0 	12 	<5 	0 	0 	0 	0 	0 	12 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
PA/407/92 	320 	640 	0 	2560 	0 	1280 	0 	0 	0 	0 	0 	0 	0 	20 	<5 	0 	0 	18 	0 	<10 	<5 	0 	0 	0 	0 	0 	10 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
PA/417/92 	640 	640 	0 	1280 	0 	1280 	0 	0 	0 	0 	0 	0 	0 	80 	20 	0 	0 	0 	0 	30 	50 	0 	0 	0 	0 	0 	50 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
PA/424/92 	320 	640 	0 	2560 	0 	1280 	0 	0 	0 	0 	0 	0 	0 	40 	<5 	0 	0 	40 	0 	10 	<10 	0 	0 	0 	0 	0 	40 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
PA/457/92 	320 	1280 	0 	2560 	0 	2560 	0 	0 	0 	0 	0 	0 	0 	10 	<5 	0 	0 	<5 	0 	<5 	<5 	0 	0 	0 	0 	0 	<5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
PA/467/92 	905 	1280 	0 	5120 	0 	2560 	0 	0 	0 	0 	0 	0 	0 	30 	<5 	0 	0 	20 	0 	12 	<5 	0 	0 	0 	0 	0 	10 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
PA/490/92 	320 	1280 	0 	2560 	0 	2560 	0 	0 	0 	0 	0 	0 	0 	35 	20 	0 	0 	40 	0 	20 	<5 	0 	0 	0 	0 	0 	25 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
PA/512/92 	160 	640 	0 	1280 	0 	1280 	0 	0 	0 	0 	0 	0 	0 	20 	<5 	0 	0 	<5 	0 	<5 	<5 	0 	0 	0 	0 	0 	20 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
PA/548/92 	320 	1280 	0 	1280 	0 	1280 	0 	0 	0 	0 	0 	0 	0 	10 	<5 	0 	0 	<5 	0 	<5 	<5 	0 	0 	0 	0 	0 	10 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
PA/564/92 	320 	640 	0 	1280 	0 	1920 	0 	0 	0 	0 	0 	0 	0 	60 	40 	0 	0 	40 	0 	35 	20 	0 	0 	0 	0 	0 	60 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
PA/583/92 	403 	806 	0 	2560 	0 	2560 	0 	0 	0 	0 	0 	0 	0 	20 	<5 	0 	0 	25 	0 	<5 	<5 	0 	0 	0 	0 	0 	10 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
PA/597/92 	160 	640 	0 	640 	0 	1280 	0 	0 	0 	0 	0 	0 	0 	35 	18 	0 	0 	25 	0 	15 	10 	0 	0 	0 	0 	0 	20 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
PA/614/92 	640 	640 	0 	2560 	0 	1280 	0 	0 	0 	0 	0 	0 	0 	40 	<5 	0 	0 	18 	0 	<10 	10 	0 	0 	0 	0 	0 	20 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
RD/100540/92 	640 	2560 	0 	1280 	0 	2560 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
SA/8/92 	226 	453 	0 	905 	0 	905 	0 	0 	0 	0 	0 	0 	0 	20 	<5 	0 	0 	40 	0 	10 	<5 	0 	0 	0 	0 	0 	10 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
